"Name","Category","Location","Phone Number"
"Св. Атанасиј","place_of_worship","","Pashino Ruvci"
"Св. Георгиј","place_of_worship","","Pashino Ruvci"
"Св. Петка","place_of_worship","","Voinovikj"
"Св.Никола","place_of_worship","","Ново Село"
"Св. Георгиј","place_of_worship","","Belovodica"
"Св. Никола","place_of_worship","","Belovodica"
"Св. Никола","place_of_worship","","Rashtani"
"Св. Арханѓел","place_of_worship","","Ново Село"
"Кадан Ана Џамија","place_of_worship","","Ново Село"
"Св. Архангел Михаил","place_of_worship","","Ново Село"
"Св. Атанасиј","place_of_worship","","Sarakjino"
"Пресвета Богородица","place_of_worship","","Sarakjino"
"св. Тројица","place_of_worship","","Banjane"
"Црква Свети Димитриј","place_of_worship","",""
"Xhamia e Cairit","place_of_worship","","Skopje"
"Xhamia e Uhudit","place_of_worship","","Skopje"
"Хаџиќазимова џамија","place_of_worship","","Skopje"
"Кебир Мехмед Челеби џамија","place_of_worship","","Skopje"
"Св. Богородица","place_of_worship","","Tetovo"
"Нова Џамија","place_of_worship","","Tetovo"
"Св. Недела","place_of_worship","","Tetovo"
"Св. Никола","place_of_worship","","Tetovo"
"Xhamia e Vogël","place_of_worship","","Skopje"
"Арабати баба-теќе","place_of_worship","","Tetovo"
"Св. Благовештение","place_of_worship","","Prilep"
"Sveto Prepolovenie Rusa Sreda","place_of_worship","","Batinci"
"св. Софија аеродром","place_of_worship","","Skopje"
"Црква Свети Никола - Аеродром","place_of_worship","","Skopje"
"Рождество на Пресвета Богородица","place_of_worship","","Malo Konjari"
"Xhamia e Re","place_of_worship","","Kumanovo"
"Св. Георгиј","place_of_worship","","Prisad"
"Св. Никола","place_of_worship","","Vogjani"
"Пресвета Богородица Перивлепта","place_of_worship","","Ohrid"
"Евангелска Конгрешанска Црква","place_of_worship","","Skopje"
"Манастир Св. Илија","place_of_worship","","Dzvegor"
"Рождество на Пресвета Богородица","place_of_worship","","Bosilovo"
"Св. Илија","place_of_worship","","Veselchani"
"Успение на Пресвета Богородица","place_of_worship","",""
"Св. Јован Крстител","place_of_worship","","Oreovec"
"Св. Кузман и Дамјан","place_of_worship","","Pletvar"
"Св. Павле","place_of_worship","",""
"Св. Никола","place_of_worship","",""
"Св. Димитриј","place_of_worship","",""
"Св. Георгиј","place_of_worship","",""
"Св. Никола","place_of_worship","","Carev Dvor"
"Манастир Св. Недела","place_of_worship","","Draslajca"
"Св. Архангел Миахил","place_of_worship","","Kalen"
"Ајдар-пашина џамија","place_of_worship","","Ohrid"
